No,code,coral_coverage,mortality,diversity,pH,temp,salinity,do,no3,no2,fosfat,clarity,subdistrict,zone,zone1
80,ANB 46,47.85,0.075,1.5,7.63,27,32,4.3,0.2,0.2,1,6.3,Jemaja Timur,core,core
81,ANB 47,55.8,0.11,2.4,7.78,25,37,4.8,0.2,0.2,0.5,11,Siantan,outside,other
82,ANB 48,55.32,0.249,2.4,7.84,28,30,4.8,0.3,0.3,1,5.8,Jemaja Timur,core,core
83,ANB 49,59.94,0.25,2,7.87,29,30,5.2,0.2,0.3,1,6,Jemaja Timur,core,core
84,ANB 50,15.53,0.3,2.6,7.86,28,36,5.1,0.2,0.2,0.5,9,Palmatak,outside,other
85,1,42.93,,,8.48,29.7,32.7,8.76,,,,25,Siantan Timur,utilization,other
86,2,58.07,,,8.4,29.7,32.7,8.06,,,,15,Siantan Timur,utilization,other
87,3,50,,,8.38,29.9,32.7,6.6,,,,10,Siantan Timur,utilization,other
88,4,21.03,,,8.43,30.6,32.6,6.34,,,,25,Palmatak,utilization,other
89,5,37.33,,,8.41,30.6,32.7,7.69,,,,25,Palmatak,utilization,other
90,6,66.87,,,8.38,30.6,32.6,7.7,,,,12,Palmatak,utilization,other
91,7,40.3,,,8.38,29.7,32.7,8.71,,,,5,Jemaja Timur,utilization,other
92,8,41.83,,,8.37,30.5,32.8,9.67,,,,4,Jemaja Timur,utilization,other
93,9,9.63,,,8.46,29.8,32.8,9.53,,,,,Jemaja,utilization,other
94,10,48.6,,,8.46,29.8,32.7,8.79,,,,25,Jemaja,utilization,other
95,11,50.63,,,8.39,30.1,32.8,9.81,,,,25,Siantan Selatan,utilization,other
96,12,41.53,,,8.35,30.1,32.7,8.82,,,,25,Siantan Selatan,utilization,other
97,13,33.77,,,8.49,29.9,32.8,10.41,,,,25,Palmatak,utilization,other
98,14,63.84,,,8.36,29.8,32.8,9.56,,,,15,Palmatak,utilization,other
99,15,65.83,,,8.51,29.6,32.8,9.87,,,,15,Palmatak,utilization,other
100,16,49.33,,,8.37,29.8,32.7,8.95,,,,15,Palmatak,utilization,other
101,17,59.67,,,8.33,29.5,32.8,10.04,,,,15,Palmatak,utilization,other
102,18,62.17,,,8.44,30.5,32.6,9.44,,,,15,Siantan Timur,utilization,other
103,19,49.17,,,8.39,29.2,32.8,8.93,,,,10,Siantan Timur,utilization,other
104,20,42.33,,,8.45,29.8,32.6,9.52,,,,20,Siantan Timur,utilization,other
105,21,59.17,,,8.4,30.1,32.8,9.69,,,,5,Jemaja Timur,utilization,other
106,22,85,,,8.41,30.2,32.8,9.57,,,,20,Jemaja,utilization,other
107,23,58,,,8.52,30.5,32.9,11.01,,,,5,Siantan Selatan,utilization,other
108,24,8.67,,,8.5,29.2,32.8,9.02,,,,20,Siantan Selatan,utilization,other
109,25,67.67,,,8.47,30,32.9,9.05,,,,15,Siantan Selatan,utilization,other
110,26,76.17,,,8.38,30.1,32.6,9.69,,,,10,Palmatak,utilization,other
111,ANBL01,56.1,,,,,,,,,,,,,
112,ANBL02,52.2,,,,,,,,,,,,,
113,ANBL03,39.47,,,,,,,,,,,,,
114,ANBL04,32.65,,,,,,,,,,,,,
115,ANBL05,37,,,,,,,,,,,,,
116,ANBL06,45.13,,,,,,,,,,,,,
117,ANBL07,57.6,,,,,,,,,,,,,
118,ANBL08,26.47,,,,,,,,,,,,,
119,ANBL09,46.2,,,,,,,,,,,,,
120,ANBL10,40.09,,,,,,,,,,,,,
121,ANBL11,52.33,,,,,,,,,,,,,
122,ANBL12,17.27,,,,,,,,,,,,,
